Repository: repo476, Score: 1821267.38
Repository: repo260, Score: 571665.00
Repository: repo920, Score: 328947.81
Repository: repo795, Score: 283194.16
Repository: repo161, Score: 207054.09
Repository: repo1143, Score: 194406.61
Repository: repo518, Score: 176195.44
Repository: repo1185, Score: 151120.91
Repository: repo1243, Score: 140042.42
Repository: repo250, Score: 120840.69
Repository: repo127, Score: 111772.01
Repository: repo140, Score: 103173.32
Repository: repo787, Score: 100368.80
Repository: repo117, Score: 91667.16
Repository: repo126, Score: 84445.91
Repository: repo762, Score: 74130.83
Repository: repo393, Score: 65029.69
Repository: repo112, Score: 62394.10
Repository: repo381, Score: 61585.70
Repository: repo243, Score: 57935.80
Repository: repo1126, Score: 57174.69
Repository: repo296, Score: 55754.81
Repository: repo198, Score: 53538.80
Repository: repo241, Score: 49775.80
Repository: repo842, Score: 49292.90
Repository: repo184, Score: 47263.64
Repository: repo955, Score: 44611.10
Repository: repo703, Score: 42160.24
Repository: repo696, Score: 38552.40
Repository: repo742, Score: 38100.77
Repository: repo307, Score: 37862.09
Repository: repo458, Score: 35153.30
Repository: repo613, Score: 35117.29
Repository: repo333, Score: 34321.08
Repository: repo740, Score: 34299.45
Repository: repo875, Score: 32038.99
Repository: repo1120, Score: 29507.61
Repository: repo546, Score: 29411.97
Repository: repo532, Score: 29399.70
Repository: repo849, Score: 27947.88
Repository: repo205, Score: 27834.80
Repository: repo830, Score: 27817.00
Repository: repo259, Score: 27262.00
Repository: repo707, Score: 26082.80
Repository: repo805, Score: 25875.90
Repository: repo99, Score: 25266.80
Repository: repo975, Score: 24812.30
Repository: repo982, Score: 24569.82
Repository: repo557, Score: 24209.49
Repository: repo4, Score: 24093.40
Repository: repo1200, Score: 23484.89
Repository: repo826, Score: 22577.00
Repository: repo474, Score: 22346.20
Repository: repo831, Score: 21873.73
Repository: repo1061, Score: 21048.59
Repository: repo428, Score: 20673.70
Repository: repo470, Score: 20670.20
Repository: repo996, Score: 20442.10
Repository: repo888, Score: 19307.20
Repository: repo367, Score: 19274.31
Repository: repo776, Score: 18053.70
Repository: repo165, Score: 17748.70
Repository: repo83, Score: 16983.80
Repository: repo1029, Score: 16521.00
Repository: repo528, Score: 16342.50
Repository: repo797, Score: 15704.50
Repository: repo737, Score: 15357.70
Repository: repo1090, Score: 15316.50
Repository: repo516, Score: 15238.80
Repository: repo346, Score: 15108.40
Repository: repo432, Score: 14300.50
Repository: repo702, Score: 13890.11
Repository: repo1104, Score: 13736.70
Repository: repo637, Score: 13308.60
Repository: repo57, Score: 13283.30
Repository: repo917, Score: 12805.80
Repository: repo1083, Score: 12572.60
Repository: repo533, Score: 12569.20
Repository: repo1064, Score: 12562.20
Repository: repo1242, Score: 12056.70
Repository: repo901, Score: 11793.20
Repository: repo827, Score: 11203.31
Repository: repo263, Score: 11184.10
Repository: repo1036, Score: 10934.30
Repository: repo781, Score: 10612.70
Repository: repo632, Score: 10528.10
Repository: repo226, Score: 10338.90
Repository: repo764, Score: 10318.20
Repository: repo411, Score: 10296.60
Repository: repo1206, Score: 10193.00
Repository: repo55, Score: 10145.20
Repository: repo249, Score: 9888.30
Repository: repo268, Score: 9712.30
Repository: repo919, Score: 9699.90
Repository: repo457, Score: 9586.80
Repository: repo459, Score: 9435.60
Repository: repo777, Score: 9278.90
Repository: repo1110, Score: 9148.50
Repository: repo1022, Score: 8837.20
Repository: repo1196, Score: 8741.30
Repository: repo1262, Score: 8703.90
Repository: repo1184, Score: 8670.51
Repository: repo14, Score: 8495.60
Repository: repo1102, Score: 8397.60
Repository: repo266, Score: 8394.80
Repository: repo1239, Score: 8352.10
Repository: repo600, Score: 8212.10
Repository: repo756, Score: 8134.00
Repository: repo182, Score: 8015.00
Repository: repo37, Score: 7994.60
Repository: repo63, Score: 7911.70
Repository: repo1240, Score: 7870.20
Repository: repo46, Score: 7867.20
Repository: repo493, Score: 7859.70
Repository: repo1251, Score: 7833.20
Repository: repo1103, Score: 7825.50
Repository: repo1010, Score: 7819.30
Repository: repo911, Score: 7789.60
Repository: repo305, Score: 7770.30
Repository: repo1078, Score: 7730.20
Repository: repo396, Score: 7717.70
Repository: repo234, Score: 7685.70
Repository: repo799, Score: 7465.00
Repository: repo837, Score: 7347.80
Repository: repo599, Score: 7335.20
Repository: repo723, Score: 6910.80
Repository: repo17, Score: 6889.00
Repository: repo883, Score: 6711.80
Repository: repo928, Score: 6690.20
Repository: repo998, Score: 6655.40
Repository: repo469, Score: 6558.80
Repository: repo54, Score: 6529.00
Repository: repo1054, Score: 6522.20
Repository: repo178, Score: 6434.40
Repository: repo771, Score: 6326.70
Repository: repo415, Score: 6246.10
Repository: repo1087, Score: 6235.10
Repository: repo545, Score: 6184.10
Repository: repo708, Score: 6042.20
Repository: repo1208, Score: 6037.10
Repository: repo649, Score: 5834.70
Repository: repo603, Score: 5740.70
Repository: repo734, Score: 5706.60
Repository: repo1136, Score: 5643.60
Repository: repo1194, Score: 5574.10
Repository: repo15, Score: 5561.40
Repository: repo803, Score: 5521.60
Repository: repo621, Score: 5307.00
Repository: repo90, Score: 5295.00
Repository: repo774, Score: 5276.20
Repository: repo1245, Score: 5175.30
Repository: repo1044, Score: 5053.30
Repository: repo271, Score: 4847.30
Repository: repo1045, Score: 4807.90
Repository: repo436, Score: 4795.80
Repository: repo20, Score: 4790.60
Repository: repo927, Score: 4743.60
Repository: repo698, Score: 4741.70
Repository: repo522, Score: 4733.30
Repository: repo1039, Score: 4723.90
Repository: repo207, Score: 4673.70
Repository: repo295, Score: 4659.00
Repository: repo979, Score: 4614.80
Repository: repo513, Score: 4582.40
Repository: repo1224, Score: 4516.20
Repository: repo407, Score: 4472.90
Repository: repo261, Score: 4469.50
Repository: repo816, Score: 4389.20
Repository: repo128, Score: 4362.80
Repository: repo700, Score: 4268.50
Repository: repo586, Score: 4253.50
Repository: repo202, Score: 4144.20
Repository: repo11, Score: 4018.10
Repository: repo1073, Score: 4014.60
Repository: repo1046, Score: 3985.20
Repository: repo945, Score: 3971.20
Repository: repo733, Score: 3959.40
Repository: repo572, Score: 3957.40
Repository: repo394, Score: 3951.90
Repository: repo952, Score: 3942.20
Repository: repo231, Score: 3876.70
Repository: repo236, Score: 3869.10
Repository: repo909, Score: 3828.50
Repository: repo498, Score: 3795.10
Repository: repo29, Score: 3767.90
Repository: repo663, Score: 3755.20
Repository: repo1220, Score: 3743.20
Repository: repo154, Score: 3615.30
Repository: repo1095, Score: 3602.60
Repository: repo48, Score: 3600.60
Repository: repo1035, Score: 3516.80
Repository: repo1021, Score: 3438.90
Repository: repo767, Score: 3425.90
Repository: repo1183, Score: 3359.90
Repository: repo102, Score: 3359.30
Repository: repo66, Score: 3266.60
Repository: repo433, Score: 3141.50
Repository: repo104, Score: 3066.00
Repository: repo59, Score: 3041.00
Repository: repo1006, Score: 3013.00
Repository: repo815, Score: 3010.10
Repository: repo1218, Score: 2975.40
Repository: repo1015, Score: 2962.90
Repository: repo213, Score: 2891.80
Repository: repo933, Score: 2805.30
Repository: repo158, Score: 2744.00
Repository: repo964, Score: 2654.20
Repository: repo368, Score: 2638.30
Repository: repo612, Score: 2628.60
Repository: repo958, Score: 2567.60
Repository: repo294, Score: 2560.40
Repository: repo932, Score: 2496.80
Repository: repo160, Score: 2377.70
Repository: repo674, Score: 2297.90
Repository: repo39, Score: 2232.40
Repository: repo233, Score: 2208.60
Repository: repo414, Score: 2199.90
Repository: repo578, Score: 2155.90
Repository: repo316, Score: 2149.90
Repository: repo871, Score: 2144.10
Repository: repo863, Score: 2120.60
Repository: repo714, Score: 2105.30
Repository: repo300, Score: 2083.90
Repository: repo258, Score: 2083.60
Repository: repo1018, Score: 2081.10
Repository: repo466, Score: 2079.40
Repository: repo1176, Score: 2079.40
Repository: repo962, Score: 2079.40
Repository: repo582, Score: 2078.50
Repository: repo834, Score: 2050.80
Repository: repo907, Score: 1957.30
Repository: repo31, Score: 1943.90
Repository: repo499, Score: 1940.50
Repository: repo50, Score: 1866.80
Repository: repo489, Score: 1834.40
Repository: repo1168, Score: 1799.00
Repository: repo591, Score: 1779.40
Repository: repo980, Score: 1752.90
Repository: repo221, Score: 1734.90
Repository: repo1177, Score: 1734.40
Repository: repo1122, Score: 1717.70
Repository: repo371, Score: 1712.00
Repository: repo365, Score: 1694.60
Repository: repo713, Score: 1679.70
Repository: repo214, Score: 1645.20
Repository: repo385, Score: 1642.60
Repository: repo959, Score: 1638.00
Repository: repo1203, Score: 1600.00
Repository: repo719, Score: 1592.40
Repository: repo789, Score: 1568.20
Repository: repo984, Score: 1496.50
Repository: repo480, Score: 1486.30
Repository: repo186, Score: 1474.00
Repository: repo1250, Score: 1418.90
Repository: repo475, Score: 1410.60
Repository: repo1048, Score: 1367.20
Repository: repo47, Score: 1366.20
Repository: repo972, Score: 1364.30
Repository: repo1032, Score: 1352.40
Repository: repo1071, Score: 1331.20
Repository: repo1109, Score: 1318.00
Repository: repo1034, Score: 1315.20
Repository: repo623, Score: 1308.80
Repository: repo728, Score: 1298.40
Repository: repo877, Score: 1295.40
Repository: repo413, Score: 1261.40
Repository: repo588, Score: 1258.50
Repository: repo810, Score: 1250.00
Repository: repo478, Score: 1237.10
Repository: repo77, Score: 1224.90
Repository: repo581, Score: 1223.50
Repository: repo1192, Score: 1205.70
Repository: repo852, Score: 1199.30
Repository: repo802, Score: 1186.00
